incident_id,start_time,end_time,affected_services,traffic,user_sessions,severity,root_cause,resolution_time,actual_revenue_loss,actual_sessions_affected
INC001,2025-08-15T10:00,2025-08-15T10:30,checkout,12000,8000,critical,DB outage,30,5000,3000
INC002,2025-08-16T14:00,2025-08-16T15:00,login,8000,6000,major,Auth service bug,60,2000,1500
INC003,2025-08-17T09:00,2025-08-17T09:45,search,15000,12000,minor,Cache miss,45,3500,2500
INC004,2025-08-18T11:00,2025-08-18T11:20,payment,9000,7000,critical,Payment gateway down,20,4000,2000
INC005,2025-08-19T13:00,2025-08-19T13:40,checkout,18000,14000,major,Network latency,40,7000,5000
INC006,2025-08-20T16:00,2025-08-20T16:30,search,10000,9000,minor,Service restart,30,1500,1200
INC007,2025-08-21T08:00,2025-08-21T08:50,login,20000,18000,critical,DB deadlock,50,9000,7000
INC008,2025-08-22T17:00,2025-08-22T17:25,payment,11000,9000,major,API timeout,25,3000,2200
INC009,2025-08-23T10:00,2025-08-23T10:35,checkout,16000,13000,major,Backend overload,35,6000,4000
INC010,2025-08-24T15:00,2025-08-24T15:20,search,12000,10000,minor,Slow query,20,1000,800
INC011,2025-08-25T12:00,2025-08-25T12:45,login,25000,21000,critical,Service crash,45,12000,9000
INC012,2025-08-26T09:00,2025-08-26T09:30,payment,13000,11000,major,Third-party outage,30,3500,2500
INC013,2025-08-27T11:00,2025-08-27T11:50,checkout,22000,18000,critical,DB corruption,50,10000,8000
INC014,2025-08-28T14:00,2025-08-28T14:40,search,17000,15000,major,Cache saturation,40,4000,3000
INC015,2025-08-29T10:00,2025-08-29T10:30,login,9000,7000,minor,Config error,30,1200,900
INC016,2025-08-30T13:00,2025-08-30T13:25,payment,14000,12000,critical,Payment processor bug,25,5000,3500
INC017,2025-08-31T16:00,2025-08-31T16:45,checkout,20000,17000,major,Network partition,45,8000,6000
INC018,2025-09-01T09:00,2025-09-01T09:20,search,13000,11000,minor,Service restart,20,900,700
INC019,2025-09-02T11:00,2025-09-02T11:35,login,18000,15000,major,Token expiration,35,4000,3000
INC020,2025-09-03T15:00,2025-09-03T15:30,payment,12000,10000,critical,DB connection lost,30,4500,3200
